Date,Details,Amount,Currency,Debit/Credit,Status,
15 Jan 2023,Salary Deposit,"5,250.00",USD,Credit,SETTLED,
18 Jan 2023,AMAZON.COM,"89.99",USD,Debit,SETTLED,
20 Jan 2023,WHOLE FOODS MARKET,"125.45",USD,Debit,SETTLED,
22 Jan 2023,NETFLIX SUBSCRIPTION,"14.99",USD,Debit,SETTLED,
25 Jan 2023,UBER RIDE,"22.50",USD,Debit,SETTLED,
28 Jan 2023,TARGET,"78.32",USD,Debit,SETTLED,
30 Jan 2023,STARBUCKS,"6.75",USD,Debit,SETTLED,
01 Feb 2023,Salary Deposit,"5,250.00",USD,Credit,SETTLED,
03 Feb 2023,RENT PAYMENT,"1,800.00",USD,Debit,SETTLED,
05 Feb 2023,SPOTIFY PREMIUM,"9.99",USD,Debit,SETTLED,
08 Feb 2023,TRADER JOE'S,"95.67",USD,Debit,SETTLED,
10 Feb 2023,CHEVRON GAS,"45.23",USD,Debit,SETTLED,
12 Feb 2023,APPLE.COM,"2.99",USD,Debit,SETTLED,
15 Feb 2023,AMAZON PRIME,"14.99",USD,Debit,SETTLED,
18 Feb 2023,CHIPOTLE,"18.45",USD,Debit,SETTLED,
20 Feb 2023,WALMART,"112.34",USD,Debit,SETTLED,
22 Feb 2023,HULU SUBSCRIPTION,"12.99",USD,Debit,SETTLED,
25 Feb 2023,COSTCO WHOLESALE,"235.67",USD,Debit,SETTLED,
28 Feb 2023,BANK FEE,"4.99",USD,Debit,SETTLED,
01 Mar 2023,Salary Deposit,"5,250.00",USD,Credit,SETTLED,
03 Mar 2023,RENT PAYMENT,"1,800.00",USD,Debit,SETTLED,
05 Mar 2023,VERIZON WIRELESS,"85.42",USD,Debit,SETTLED,
08 Mar 2023,UBER EATS,"32.45",USD,Debit,SETTLED,
10 Mar 2023,AMAZON.COM,"65.98",USD,Debit,SETTLED,
12 Mar 2023,CVS PHARMACY,"28.76",USD,Debit,SETTLED,
15 Mar 2023,DISNEY+ SUBSCRIPTION,"7.99",USD,Debit,SETTLED,
18 Mar 2023,HOME DEPOT,"145.23",USD,Debit,SETTLED,
20 Mar 2023,TRADER JOE'S,"88.45",USD,Debit,SETTLED,
22 Mar 2023,STARBUCKS,"8.25",USD,Debit,SETTLED,
25 Mar 2023,CHEVRON GAS,"48.75",USD,Debit,SETTLED,
28 Mar 2023,NETFLIX SUBSCRIPTION,"14.99",USD,Debit,SETTLED,
30 Mar 2023,DOORDASH,"42.67",USD,Debit,SETTLED,
01 Apr 2023,Salary Deposit,"5,250.00",USD,Credit,SETTLED,
03 Apr 2023,RENT PAYMENT,"1,800.00",USD,Debit,SETTLED,
05 Apr 2023,AT&T WIRELESS,"95.42",USD,Debit,SETTLED,
08 Apr 2023,WHOLE FOODS MARKET,"132.56",USD,Debit,SETTLED,
10 Apr 2023,AMAZON.COM,"129.99",USD,Debit,SETTLED,
12 Apr 2023,SPOTIFY PREMIUM,"9.99",USD,Debit,SETTLED,
15 Apr 2023,BANK FEE,"4.99",USD,Debit,SETTLED,
15 Apr 2023,Tax Refund,"1,250.00",USD,Credit,SETTLED,
18 Apr 2023,TARGET,"92.45",USD,Debit,SETTLED,
20 Apr 2023,UBER RIDE,"18.75",USD,Debit,SETTLED,
22 Apr 2023,APPLE.COM,"0.99",USD,Debit,SETTLED,
25 Apr 2023,COSTCO WHOLESALE,"198.45",USD,Debit,SETTLED,
28 Apr 2023,HULU SUBSCRIPTION,"12.99",USD,Debit,SETTLED,
30 Apr 2023,CHIPOTLE,"15.67",USD,Debit,SETTLED,
01 May 2023,Salary Deposit,"5,250.00",USD,Credit,SETTLED,
03 May 2023,RENT PAYMENT,"1,800.00",USD,Debit,SETTLED,
05 May 2023,VERIZON WIRELESS,"85.42",USD,Debit,SETTLED,
08 May 2023,WALMART,"105.67",USD,Debit,SETTLED,
10 May 2023,AMAZON.COM REFUND,"29.99",USD,Credit,SETTLED,
12 May 2023,STARBUCKS,"7.45",USD,Debit,SETTLED,
15 May 2023,DISNEY+ SUBSCRIPTION,"7.99",USD,Debit,SETTLED,
18 May 2023,TRADER JOE'S,"78.34",USD,Debit,SETTLED,
20 May 2023,CHEVRON GAS,"52.45",USD,Debit,SETTLED,
22 May 2023,NETFLIX SUBSCRIPTION,"14.99",USD,Debit,SETTLED,
25 May 2023,CVS PHARMACY,"34.56",USD,Debit,SETTLED,
28 May 2023,DOORDASH,"38.75",USD,Debit,SETTLED,
30 May 2023,BANK FEE,"4.99",USD,Debit,SETTLED
